region,date_iso,edition_label,status,filename,source_url,source_text,notes
DFW,?,1,Missing,,,,Ford Maps David Rumsey collection
DFW,?,2,Missing,,,https://www.loc.gov/item/2009582531/,
DFW,?,3,Missing,,,https://findingaids.loc.gov/db/search/xq/searchMfer02.xq?_id=loc.gmd.eadgmd.gm020018&_faSection=overview&_faSubsection=did&_dmdid=,
DFW,?,4,Missing,,,https://historicalcharts.noaa.gov,
DFW,?,5,Missing,,,https://www.loc.gov/item/2009582531/,
DFW,1932-10-01,6,Acquired,193210_geo_cog.tif,LoC,https://www.loc.gov/resource/g3701pm.gct00089/?st=list&c=150,
DFW,1933-02-01,7,Acquired,193302_geo_COG.tif,LoC,,
DFW,1933-07-01,8,Acquired,193307_geo_COG.tif,LoC,,
DFW,1933-09-01,9,Acquired,193309_geo_cog.tif,LoC,,
DFW,1934-08-01,10,Acquired,193408_geo_COG.tif,LoC,,
DFW,1935-02-01,11,Acquired,193502_geo_cog.tif,LoC,,
DFW,1935-09-01,12,Acquired,193509_geo_cog.tif,LoC,,
DFW,1936-12-01,13,Acquired,193612_geo_cog.tif,LoC,,
DFW,1938-09-01,14,Acquired,193809_geo_cog.tif,LoC,,
DFW,1939-02-01,15,Acquired,193902_geo_cog.tif,LoC,,
DFW,1940-09-01,16,Acquired,194009_DFW_COG.tif,LoC,,
DFW,1941-08-01,17,Acquired,194108_geo_cog.tif,LoC,,
DFW,1943-02-01,18,Acquired,194302_geo_cog.tif,LoC,,
DFW,1944-03-01,19,Acquired,194403_geo_cog.tif,LoC,,
DFW,1944-07-01,20,Acquired,194407_geo_cog.tif,LoC,,
DFW,1944-08-01,21,Acquired,194408_geo_cog.tif,LoC,,
DFW,1945-07-01,22,Acquired,194507_geo_cog.tif,LoC,,
DFW,1945-09-01,23,Acquired,194509_geo_cog.tif,LoC,,
DFW,1946-03-01,24,Acquired,194603_geo_cog.tif,LoC,,
DFW,1946-09-01,25,Acquired,194609_geo_cog.tif,LoC,,
DFW,1947-03-01,26,Acquired,194703_geo_cog.tif,LoC,,
DFW,1947-09-01,27,Acquired,194709_geo_cog.tif,LoC,,
DFW,1948-09-01,28,Acquired,194809_geo_cog.tif,LoC,,
DFW,1949-02-01,29,Acquired,194902_geo_cog.tif,LoC,,
DFW,1949-08-01,30,Acquired,194908_geo_cog.tif,LoC,,
DFW,1950-02-01,31,Acquired,195002_DFW_COG.tif,LoC,,
DFW,1950-08-01,32,Acquired,195008_geo_cog.tif,LoC,,
DFW,1951-03-01,33,Acquired,195103_geo_cog.tif,LoC,,
DFW,1951-09-01,34,Acquired,195109_geo_cog.tif,LoC,,
DFW,1952-03-01,35,Acquired,195202_geo_cog.tif,LoC,,
DFW,1952-08-22,36th,Acquired,195208_geo_cog.tif,LoC,,First one using ordinal editions
DFW,1953-04-02,37th,Missing,,,,
DFW,1953-09-03,38th,Acquired,195309_geo_cog.tif,LoC,,
DFW,1954-03-09,39th,Acquired,195403_geo_cog.tif,LoC,,
DFW,1954-08-31,40th,Acquired,195408_geo_cog.tif,LoC,,
DFW,1955-02-10,41st,Acquired,195502_geo_cog.tif,LoC,,
DFW,1955-11-08,42nd,Acquired,195509_geo_cog.tif,LoC,,
DFW,1956-03-08,43rd,Acquired,195603_geo_cog.tif,LoC,,
DFW,1956-10-10,44th,Missing,,,,
DFW,1957-01-01,45th,Acquired,195701_geo_cog.tif,LoC,,
DFW,1957-09-01,46th,Acquired,195709_geo_cog.tif,LoC,,
DFW,1958-07-08,47th,Acquired,195803_geo_cog.tif,LoC,,
DFW,1959-02-05,48th,Acquired,195902_geo_cog.tif,LoC,,
DFW,1959-09-06,49th,Acquired,195909_geo_cog.tif,LoC,,
DFW,1960-03-08,50th,Acquired,196003_DFW_COG.tif,LoC,,
DFW,1960-09-07,51st,Acquired,196008_geo_cog.tif,LoC,,
DFW,1961-03-08,52nd,Acquired,196103_geo_cog.tif,LoC,,
DFW,1961-09-07,53rd,Missing,,,,
DFW,1962-03-07,54th,Missing,,,,
DFW,1962-09-06,55th,Missing,,,,
DFW,1963-03-07,56th,Missing,,,,
DFW,1963-09-06,57th,Missing,,,,
DFW,1964-03-06,58th,Missing,,,,
DFW,1964-09-04,59th,Missing,,,,
DFW,1965-03-05,60th,Missing,,LoC,,
DFW,1965-07-22,61st,Missing,,LoC,,
DFW,1966-02-03,62nd,Missing,,LoC,,
DFW,1966-07-21,63rd,Missing,,LoC,,
DFW,1967-02-03,64th,Missing,,LoC,,
DFW,1967-07-22,65th,Missing,,LoC,,
DFW,1968-02-02,66th,Missing,,LoC,,
DFW,1968-07-25,67th,Acquired,196807_DFW_COG.tif,LoC,,
DFW,1969-01-14,1st,Missing,,,,
DFW,1969-07-14,2nd,Missing,,,,
DFW,1970-01-14,3rd,Missing,,,,
DFW,1970-07-14,4th,Missing,,,,
DFW,1971-01-14,5th,Missing,,,,
DFW,1971-07-14,6th,Missing,,,,
DFW,1972-01-14,7th,Missing,,,,
DFW,1972-07-14,8th,Missing,,,,
DFW,1973-01-14,9th,Missing,,eBay?,,https://ebay.us/m/bK1AEy
DFW,1973-07-14,10th,Missing,,,,
DFW,1974-01-31,11th,Missing,,,,
DFW,1974-07-14,12th,Missing,,,,
DFW,1975-01-30,13th,Missing,,,,
DFW,1975-07-14,14th,Missing,,,,
DFW,1976-01-14,15th,Missing,,,,
DFW,1976-07-14,16th,Missing,,,,
DFW,1977-01-14,17th,Missing,,,,
DFW,1977-07-14,18th,Missing,,,,
DFW,1978-01-14,19th,Missing,,,,
DFW,1978-07-14,20th,Missing,,,,
DFW,1979-01-14,21st,Missing,,,,
DFW,1979-07-14,22nd,Missing,,,,
DFW,1980-01-14,23rd,Missing,,Library,,
DFW,1980-07-14,24th,Missing,,,,
DFW,1981-01-14,25th,Missing,,,,
DFW,1981-07-14,26th,Missing,,,,
DFW,1982-01-14,27th,Missing,,,,
DFW,1982-07-14,28th,Missing,,,,
DFW,1983-01-20,29th,Missing,,,,
DFW,1983-07-20,30th,Missing,,,,
DFW,1984-01-20,31st,Missing,,,,
DFW,1984-07-20,32nd,Missing,,,,
DFW,1985-01-20,33rd,Missing,,,,
DFW,1985-07-20,34th,Missing,,,,
DFW,1986-01-16,35th,Missing,,https://texashistory.unt.edu/ark:/67531/metapth220489/,,
DFW,1986-07-16,36th,Missing,,,,
DFW,1987-01-16,37th,Missing,,,,
DFW,1987-07-16,38th,Missing,,,,
DFW,1988-01-16,39th,Missing,,,,
DFW,1988-07-16,40th,Missing,,,,
DFW,1989-01-16,41st,Missing,,,,
DFW,1989-07-27,42nd,Missing,,,,
DFW,1990-01-16,43rd,Missing,,,,
DFW,1990-07-16,44th,Missing,,,,
DFW,1991-01-16,45th,Missing,,,,
DFW,1991-07-16,46th,Missing,,Library,,
DFW,1992-01-16,47th,Missing,,,,
DFW,1992-07-16,48th,Missing,,,,
DFW,1993-01-16,49th,Missing,,,,
DFW,1993-07-16,50th,Missing,,,,
DFW,1994-01-16,51st,Missing,,eBay?,,
DFW,1994-07-16,52nd,Missing,,,,
DFW,1995-01-16,53rd,Missing,,,,
DFW,1995-07-16,54th,Missing,,,,
DFW,1996-01-16,55th,Missing,,,,
DFW,1996-07-16,56th,Missing,,,,
DFW,1997-01-16,57th,Missing,,,,
DFW,1997-07-16,58th,Missing,,,,
DFW,1998-01-16,59th,Missing,,,,
DFW,1998-07-16,60th,Missing,,,,
DFW,1999-01-16,61st,Missing,,,,
DFW,1999-07-16,62nd,Missing,,,,
DFW,2000-01-16,63rd,Missing,,,,
DFW,2000-07-16,64th,Missing,,,,
DFW,2001-01-16,65th,Missing,,,,
DFW,2001-07-16,66th,Missing,,,,
DFW,2002-01-16,67th,Missing,,,,
DFW,2002-07-16,68th,Missing,,,,
DFW,2003-01-16,69th,Missing,,,,
DFW,2003-07-16,70th,Missing,,,,
DFW,2004-01-16,71st,Missing,,,,
DFW,2004-07-16,72nd,Missing,,,,
DFW,2005-01-16,73rd,Missing,,,,
DFW,2005-07-16,74th,Missing,,,,
DFW,2006-01-16,75th,Missing,,,,
DFW,2006-07-16,76th,Missing,,,,
DFW,2007-01-16,77th,Missing,,,,
DFW,2007-07-16,78th,Missing,,,,
DFW,2008-01-16,79th,Missing,,,,
DFW,2008-07-16,80th,Missing,,,,
DFW,2009-01-16,81st,Missing,,,,
DFW,2009-07-16,82nd,Missing,,,,
DFW,2010-01-16,83rd,Missing,,,,
DFW,2010-07-16,84th,Missing,,,,
DFW,2011-01-16,85th,Missing,,,,
DFW,2011-07-16,86th,Missing,,,,
DFW,2011-09-22,87th,Acquired,"201109N_geo_COG.tif,201109S_geo_COG.tif",FAA archive.org,,
DFW,2012-03-03,88th,Missing,,,,
DFW,2012-09-20,89th,Acquired,"201209N_geo_COG.tif,201209S_geo_COG.tif",FAA archive.org,,
DFW,2013-03-03,90th,Missing,,,,
DFW,2013-09-19,91st,Acquired,"201309N_geo_COG.tif,201309S_geo_COG.tif",FAA archive.org,,
DFW,2014-03-06,92nd,Acquired,201403_geo_COG.tif,FAA archive.org,,
DFW,2014-09-15,93rd,Missing,,,,
DFW,2015-03-05,94th,Acquired,201503_geo_COG.tif,FAA archive.org,,
DFW,2015-09-15,95th,Missing,,,,
DFW,2016-03-03,96th,Acquired,201603_geo_COG.tif,,,FAA starts providing charts digitally for free
DFW,2016-09-15,97th,Acquired,201609_geo_COG.tif,https://web.archive.org/web/20170721142430/https://aeronav.faa.gov/content/aeronav/sectional_files/PDFs/Dallas-Ft_Worth_97_P.pdf,,
DFW,2017,98th,Missing,,https://web.archive.org/web/20170628030322/http://aeronav.faa.gov/content/aeronav/sectional_files/Albuquerque_99.zip,,
DFW,2017,99th,Missing,,https://web.archive.org/web/20170628030322/http://aeronav.faa.gov/content/aeronav/sectional_files/Albuquerque_99.zip,,
DFW,2018,100th,Missing,,https://web.archive.org/web/20170628030322/http://aeronav.faa.gov/content/aeronav/sectional_files/Albuquerque_99.zip,,
DFW,2018,101st,Missing,,https://web.archive.org/web/20170628030322/http://aeronav.faa.gov/content/aeronav/sectional_files/Albuquerque_99.zip,,
DFW,2019,102,Missing,,https://web.archive.org/web/20170628030322/http://aeronav.faa.gov/content/aeronav/sectional_files/Albuquerque_99.zip,,
DFW,2019,103,Missing,,httpsweb.archive.org/web/20170628030322/http://aeronav.faa.gov/content/aeronav/sectional_files/Albuquerque_99.zip,,
DFW,2020,104,Missing,,https://web.archive.org/web/20170628030322/http://aeronav.faa.gov/content/aeronav/sectional_files/Albuquerque_99.zip,,
DFW,2020,105,Missing,,https://web.archive.org/web/20170628030322/http://aeronav.faa.gov/content/aeronav/sectional_files/Albuquerque_99.zip,,
DFW,2021,x,Missing,,,,No more editions; published every 56 days
DFW,2021,x,Missing,,,,
DFW,2022,x,Missing,,,,
DFW,2023,x,Missing,,,,
DFW,2024-09-05,x,Acquired,202409_geo_COG.tif,https://web.archive.org/web/20240929180827/https://aeronav.faa.gov/visual/09-05-2024/sectional-files/Dallas-Ft_Worth.zip,,
DFW,2024-10-31,x,Acquired,202410_geo_COG.tif,https://web.archive.org/web/20250208125828/https://aeronav.faa.gov/visual/10-31-2024/sectional-files/Dallas-Ft_Worth.zip,,
DFW,2024-12-26,x,Acquired,202412_geo_COG.tif,,Need to locate again,
DFW,2025-02-20,x,Acquired,202502_geo_COG.tif,https://web.archive.org/web/20250208121204/https://aeronav.faa.gov/visual/02-20-2025/sectional-files/Dallas-Ft_Worth.zip,,
DFW,,,,,,,
DFW,,,,,,,
DFW,,,,,,,
DFW,,,,,,,
Albuquerque,,,,,,,
Anchorage,,,,,,,
Atlanta,,,,,,,
Bethel,,,,,,,
Billings,,,,,,,
Brownsville,,,,,,,
Cape_Lisburne,,,,,,,
Charlotte,,,,,,,
Cheyenne,,,,,,,
Chicago,,,,,,,
Cincinnati,,,,,,,
Cold_Bay,,,,,,,
Dallas-Ft_Worth,,,,,,,
Dawson,,,,,,,
Denver,,,,,,,
Detroit,,,,,,,
Dutch_Harbor,,,,,,,
El_Paso,,,,,,,
Fairbanks,,,,,,,
Grand_Canyon,,,,,,,
Great_Falls,,,,,,,
Green_Bay,,,,,,,
Halifax,,,,,,,
Hawaiian_Islands,,,,,,,
Houston,,,,,,,
Jacksonville,,,,,,,
Juneau,,,,,,,
Kansas_City,,,,,,,
Ketchikan,,,,,,,
Klamath_Falls,,,,,,,
Kodiak,,,,,,,
Lake_Huron,,,,,,,
Las_Vegas,,,,,,,
Los_Angeles,,,,,,,
McGrath,,,,,,,
Memphis,,,,,,,
Miami,,,,,,,
Montreal,,,,,,,
New_Orleans,,,,,,,
New_York,,,,,,,
Nome,,,,,,,
Omaha,,,,,,,
Phoenix,,,,,,,
Point_Barrow,,,,,,,
Salt_Lake_City,,,,,,,
San_Antonio,,,,,,,
San_Francisco,,,,,,,
Seattle,,,,,,,
Seward,,,,,,,
St_Louis,,,,,,,
Twin_Cities,,,,,,,
Washington,,,,,,,
Western_Aleutian_Islands,,,,,,,
Whitehorse,,,,,,,

Wichita,,,,,,,
